id,suhu,kelembapan,gas,waktu
1324,31.1,67,637,49:56.4
1325,31.1,67,587,50:01.3
1326,31.1,67,528,50:06.4
1327,31.1,67,609,50:11.3
1328,31,67,553,50:16.4
1329,31,67,619,50:21.4
1330,31,67,642,50:26.4
1331,31,67,639,50:31.4
1332,31,67,474,50:36.6
1333,31,67,580,50:41.5
1334,31,67,624,50:46.5
1335,30.9,67,543,50:51.6
1336,30.9,67,590,50:56.6
1337,30.9,67,528,51:01.6
1338,30.9,67,528,51:06.6
1339,30.9,67,547,51:11.7
1340,30.9,67,563,51:16.7
1341,30.9,67,630,51:21.7
1342,30.9,67,649,51:26.7
1343,30.9,67,662,51:31.8
1344,30.9,67,511,51:36.8
1345,30.9,67,594,51:41.8
1346,30.9,67,640,51:46.9
1347,30.9,67,669,51:51.9
1348,30.9,67,655,51:56.9
1349,30.9,67,645,52:02.1
1350,30.8,67,496,52:06.9
1351,30.8,67,621,52:12.0
1352,30.8,67,593,52:17.0
1353,30.8,67,562,52:22.1
1354,30.8,67,688,52:27.0
1355,30.8,67,607,52:32.1
1356,30.8,67,651,52:37.2
1357,30.8,67,544,52:42.1
1358,30.9,67,622,52:47.1
1359,30.9,67,507,52:52.2
1360,30.9,67,595,52:57.2
1361,30.9,67,497,53:02.4
1362,30.9,67,464,53:08.3
1363,30.9,67,566,53:12.4
1364,30.9,67,561,53:17.3
1365,30.9,67,639,53:22.4
1366,30.9,67,670,53:27.5
1367,30.9,67,630,53:32.4
1368,30.9,67,654,53:37.5
1369,30.9,67,538,53:42.4
1370,30.9,67,531,53:47.5
1371,30.9,67,665,53:52.5
1372,30.9,67,507,53:57.5
1373,30.9,67,625,54:02.6
1374,30.9,67,682,54:07.6
1375,30.9,67,630,54:12.7
1376,30.9,67,554,54:17.7
1377,30.9,67,619,54:22.6
1378,30.9,67,425,54:27.7
1379,30.9,67,478,54:32.9
1380,30.9,67,652,54:37.8
1381,30.9,67,547,54:42.7
1382,30.9,67,715,54:47.9
1383,30.9,67,691,54:52.8
1384,30.9,67,481,54:57.9
1385,30.9,67,587,55:02.8
1386,30.9,67,668,55:07.9
1387,30.9,67,491,55:13.0
1388,30.9,67,450,55:17.9
1389,30.9,67,677,55:23.0
1390,30.9,67,663,55:28.0
1391,30.9,67,688,55:33.0
1392,30.9,67,569,55:38.2
1393,30.9,67,675,55:43.1
1394,30.9,67,530,55:48.2
1395,30.9,67,623,55:53.1
1396,30.9,67,655,55:58.2
1397,30.9,68,483,56:03.2
1398,30.9,68,650,56:08.2
1399,30.9,68,542,56:13.3
1400,30.9,68,633,56:18.3
1401,30.9,68,528,56:23.3
1402,30.9,68,670,56:28.3
1403,30.9,68,679,56:33.3
1404,30.9,68,494,56:38.4
1405,30.9,68,522,56:43.4
1406,30.9,68,546,56:48.4
1407,30.9,68,655,56:53.5
1408,30.9,68,511,56:58.6
1409,30.9,68,534,57:03.7
1410,30.9,68,546,57:08.5
1411,30.9,67,511,57:13.5
1412,30.9,67,571,57:18.6
1413,30.9,67,594,57:23.6
1414,31,67,510,57:28.6
1415,31,67,484,57:33.7
1416,31,67,550,57:38.7
1417,31,67,598,57:43.7
1418,31,67,579,57:48.8
1419,31,67,613,57:53.7
1420,31,67,599,57:58.8
1421,31.1,67,677,58:03.9
1422,31.1,67,659,58:09.3
1423,31.1,67,591,58:13.9
1424,31.1,67,526,58:18.9
1425,31.2,67,482,58:23.9
1426,30.6,73,269,23:34.8
1427,30.4,72,269,23:48.9
1428,30.1,71,276,24:04.9
1429,30.1,71,268,24:38.3
1430,30.1,71,267,24:53.6
1431,30.1,71,266,25:26.3
1432,30.1,71,266,25:42.1
1433,30.1,71,271,25:58.1
1434,30,71,265,26:35.0
1435,30,71,264,26:50.7
1436,29.9,72,265,27:06.3
1437,29.8,72,265,27:39.8
1438,29.8,72,265,27:55.2
1439,29.8,72,264,28:28.2
1440,31,74,214,48:29.7
1441,30.7,74,218,48:44.0
1442,29.9,73,229,52:10.8
1443,29.9,72,223,52:43.3
1444,30,72,222,52:58.8
1445,30.1,72,222,53:31.9
1446,30.1,72,222,53:46.9
1447,30.1,71,221,54:02.5
1448,30.1,71,221,54:18.2
1449,30.2,70,219,54:34.0
1450,30.2,70,220,54:49.3
1451,30.3,69,218,55:04.8
1452,30.3,69,224,55:20.6
1453,30.3,70,214,01:00.3
1454,30.2,70,210,01:14.3
1455,30.2,70,210,01:47.2
1456,30.2,70,209,02:02.9
1457,30.1,70,209,02:18.4
1458,30.1,70,208,02:34.0
1459,30.1,70,209,02:49.4
1460,30.2,70,210,03:22.7
1461,30.2,70,209,03:38.3
1462,30.2,70,209,03:56.1
1463,30.3,70,207,04:26.8
1464,30.3,70,208,04:42.1
1465,30.3,69,207,05:14.8
1466,30.3,69,206,05:30.4
1467,30.3,69,208,05:45.9
1468,30.3,69,204,06:03.5
1469,30.3,68,207,06:17.2
1470,30.3,68,211,06:49.8
1471,30.3,68,212,07:05.6
1472,30.3,68,211,07:38.3
1473,30.3,68,210,07:53.7
1474,30.3,68,211,08:09.3
1475,30.3,67,217,08:26.4
1476,30.2,66,201,08:58.3
1477,30.2,67,204,10:49.5
1478,30.2,68,209,11:04.8
1479,30.3,68,206,11:38.6
1480,30.3,68,207,11:54.0
1481,30.3,69,205,12:26.5
1482,30.3,69,205,12:42.3
1483,30.3,70,206,12:57.6
1484,30.3,70,205,13:13.5
1485,30.4,70,206,13:46.7
1486,30.4,70,206,14:02.4
1487,30.4,69,204,14:34.9
1488,30.4,68,205,14:50.5
1489,30.4,68,204,15:23.2
1490,30.4,68,202,15:39.0
1491,30.4,68,204,16:12.8
1492,30.4,67,211,16:27.2
1493,30.4,67,209,16:59.8
1494,30.4,67,213,18:37.1
1495,30.4,66,210,19:09.1
1496,30.4,65,210,19:24.7
1497,30.4,65,209,19:57.2
1498,30.4,66,211,20:13.1
1499,30.4,67,206,20:45.5
1500,30.4,67,204,21:01.1
1501,30.4,68,199,21:33.7
1502,30.4,68,198,21:49.3
1503,30.4,68,199,22:04.8
1504,30.4,68,200,22:20.4
1505,30.4,68,202,22:36.0
1506,30.4,68,201,22:53.5
1507,30.4,69,201,23:24.6
1508,30.4,69,201,23:42.0
1509,30.4,69,208,23:56.2
1510,30.3,70,210,24:30.9
1511,30.3,70,210,24:49.1
1512,30.2,71,210,27:08.1
1513,30.2,71,218,27:23.7
1514,30.2,70,209,27:59.1
1515,30.2,70,212,28:14.5
1516,31.5,70,205,29:00.1
1517,31.5,70,207,29:14.5
1518,30.9,69,207,29:46.4
1519,30.6,69,208,30:01.6
1520,30.2,70,207,30:33.7
1521,30.2,70,207,30:48.9
1522,30.2,70,207,31:21.0
1523,30.2,70,206,31:36.5
1524,30.2,70,206,32:08.5
1525,30.2,70,206,32:23.8
1526,30.2,69,208,32:56.0
1527,30.2,69,209,33:11.3
1528,30.2,69,208,33:43.8
1529,30.2,70,206,33:59.0
1530,30.1,70,209,34:32.5
1531,30.1,71,243,34:46.9
1532,30.1,71,212,35:18.7
1533,30.1,70,213,35:34.0
1534,30.1,70,211,36:05.9
1535,30.1,70,210,36:21.1
1536,30.1,70,209,36:53.5
1537,30.1,70,209,37:08.7
1538,30.1,70,207,37:41.3
1539,30.1,70,207,37:56.7
1540,30.1,71,210,38:28.9
1541,30.1,71,209,38:44.2
1542,30.1,71,208,39:16.3
1543,30.1,71,207,39:31.5
1544,30.1,71,207,40:04.3
1545,30.1,71,207,40:18.9
1546,30.1,71,208,40:50.9
1547,30.1,71,207,41:06.2
1548,30.2,71,208,41:38.2
1549,30.2,71,206,41:53.5
1550,30.2,71,231,42:26.0
1551,30.2,71,234,42:41.1
1552,30.2,71,235,43:13.7
1553,30.2,71,230,43:29.1
1554,30.2,71,238,44:01.1
1555,30.2,71,235,44:16.5
1556,30.2,70,234,44:48.6
1557,30.2,70,234,45:03.8
1558,30.2,70,232,45:36.6
1559,30.2,70,235,45:51.2
1560,30.2,70,231,46:23.7
1561,30.2,70,231,46:39.1
1562,30.2,70,231,47:11.0
1563,30.2,70,238,47:26.3
1564,30.2,70,242,47:58.3
1565,30.2,70,237,48:13.7
1566,30.2,71,238,48:45.7
1567,30.2,71,236,49:01.0
1568,30.2,71,236,49:38.3
1569,30.2,70,242,49:55.1
1570,30.2,70,236,50:26.5
1571,30.2,70,237,50:42.3
1572,30.3,70,236,51:13.9
1573,30.3,70,235,51:29.2
1574,30.3,70,233,52:01.3
1575,30.3,70,235,52:16.7
1576,30.2,70,234,52:48.6
1577,30.2,70,235,53:04.0
1578,30.2,70,234,53:36.0
1579,30.2,70,235,53:51.3
1580,30.2,70,236,54:23.9
1581,30.2,70,231,54:39.1
1582,30.2,71,229,55:11.0
1583,30.2,71,228,55:26.4
1584,30.2,71,226,55:59.2
1585,30.2,71,228,56:13.6
1586,30.2,71,226,56:45.7
1587,30.2,71,226,57:01.0
1588,30.2,71,224,57:33.3
1589,30.3,71,225,57:48.6
1590,30.3,70,224,58:21.3
1591,30.3,70,225,58:36.1
1592,30.3,70,225,59:08.3
1593,30.4,70,226,59:24.1
1594,30.4,70,224,59:55.6
1595,30.4,70,223,00:10.9
1596,30.4,70,224,00:43.0
1597,30.5,69,224,00:58.1
1598,30.6,69,224,01:31.0
1599,30.6,69,226,01:45.4
1600,30.7,69,225,02:17.6
1601,30.7,69,225,02:32.9
1602,27.3,73,218,03:00.1
1603,26.5,88,334,03:56.2
1604,26.5,88,334,04:10.5
1605,26.6,88,313,04:25.9
1606,26.6,87,343,04:41.3
1607,26.6,87,344,04:56.5
1608,26.7,86,340,05:11.7
1609,26.7,86,336,05:26.8
1610,26.8,86,330,05:42.0
1611,26.8,86,326,05:57.1
1612,26.9,86,320,06:12.2
1613,26.9,87,316,06:27.4
1614,26.9,87,309,06:42.5
1615,26.9,87,306,06:57.8
1616,26.9,86,302,07:12.9
1617,27,86,297,07:27.8
