id,suhu,kelembapan,gas,waktu
173,23.7,63,255,04:56.3
174,23.7,63,255,04:41.0
175,23.7,63,261,04:08.9
176,23.7,63,255,03:53.6
177,23.7,63,255,03:21.5
178,23.7,63,255,03:06.7
179,23.7,63,255,02:34.2
180,23.7,63,255,02:19.0
181,23.7,63,256,01:46.5
182,23.7,63,255,01:31.2
183,23.7,63,255,00:59.0
184,23.7,63,255,00:43.7
185,23.7,63,255,00:11.5
186,23.7,63,255,59:56.2
187,23.7,63,256,59:24.3
188,23.7,63,255,59:09.0
189,23.7,63,255,58:36.8
190,23.7,63,256,58:21.5
191,23.7,63,255,57:49.4
192,23.7,63,255,57:34.9
193,23.7,63,255,57:02.1
194,23.7,63,255,56:46.8
195,23.7,63,255,56:14.9
196,23.7,63,255,55:59.6
197,23.7,63,256,55:27.5
198,23.7,63,255,55:12.1
199,23.7,63,255,54:40.0
200,23.7,63,256,54:24.7
201,23.7,63,255,53:52.6
202,23.7,63,255,53:37.3
203,23.7,63,255,53:05.4
204,23.7,63,254,52:50.1
205,23.7,63,254,52:17.8
206,23.7,63,254,52:03.1
207,23.8,63,255,51:30.3
208,23.8,63,254,51:15.1
209,23.8,63,254,50:43.0
210,23.8,63,254,50:27.7
211,23.8,63,254,49:55.7
212,23.8,63,254,49:40.4
213,23.8,63,254,49:08.3
214,23.8,63,254,48:53.1
215,23.8,63,255,48:21.0
216,23.8,63,254,48:05.8
217,23.8,63,254,47:33.4
218,23.8,63,255,47:18.2
219,23.8,63,254,46:46.1
220,23.8,63,254,46:31.3
221,23.8,63,254,45:58.7
222,23.8,63,254,45:43.4
223,23.8,63,254,45:11.3
224,23.8,63,254,44:56.0
225,23.8,63,255,44:24.0
226,23.8,63,255,44:08.7
227,23.8,63,255,43:36.6
228,23.8,63,254,43:21.3
229,23.8,63,255,42:49.2
230,23.9,63,255,42:33.8
231,23.9,63,254,42:01.8
232,23.9,63,255,41:46.5
233,23.9,63,254,41:14.2
234,23.9,63,254,40:59.7
235,23.9,63,255,40:26.8
236,23.9,63,254,40:11.5
237,23.9,63,255,39:39.5
238,23.9,63,254,39:24.2
239,23.9,63,255,38:52.1
240,23.9,63,254,38:36.8
241,23.9,63,255,38:04.6
242,23.9,63,255,37:49.2
243,23.9,63,254,37:17.1
244,23.9,63,254,37:01.8
245,23.9,63,255,36:29.7
246,23.8,63,254,36:14.4
247,23.9,63,255,35:42.3
248,23.9,63,255,35:27.6
249,23.9,63,254,34:55.0
250,23.9,63,254,34:39.7
251,23.9,63,255,34:07.6
252,23.9,63,255,33:52.3
253,23.9,63,254,33:19.8
254,23.9,63,255,33:04.5
255,23.9,63,255,32:32.5
256,23.9,63,255,32:17.1
257,23.9,63,255,31:45.1
258,23.9,63,254,31:29.8
259,23.9,63,255,30:57.7
260,23.9,63,254,30:42.5
261,23.9,63,255,30:10.1
262,23.9,63,254,29:55.3
263,23.9,63,254,29:22.8
264,23.9,63,255,29:07.5
265,23.9,63,254,28:35.1
266,23.9,63,254,28:19.9
267,23.9,63,254,27:47.9
268,23.9,63,254,27:32.6
269,23.9,63,254,27:00.5
270,23.9,63,254,26:45.2
271,23.9,63,254,26:13.2
272,23.9,63,254,25:57.8
273,23.9,63,255,25:25.7
274,23.9,63,254,25:10.3
275,23.9,64,254,24:38.1
276,23.9,64,254,24:23.3
277,23.9,64,254,23:50.8
278,23.9,64,254,23:35.3
279,23.9,64,253,23:03.4
280,23.9,64,253,22:48.2
281,23.9,64,253,22:15.9
282,23.9,64,253,22:00.6
283,23.9,64,253,21:28.3
284,23.9,64,253,21:13.0
285,23.9,64,252,20:40.8
286,23.9,64,252,20:25.5
287,23.9,64,250,19:53.3
288,23.9,64,249,19:38.0
289,23.9,64,249,19:06.0
290,23.9,64,247,18:51.2
291,23.9,64,247,18:18.5
292,24,64,247,18:03.2
293,24,64,247,17:31.0
294,24,64,246,17:15.7
295,23.9,64,246,16:43.8
296,23.9,64,246,16:28.5
297,23.9,64,247,15:56.4
298,23.9,64,246,15:41.1
299,24,64,247,15:09.1
300,24,64,247,14:53.8
301,24,64,247,14:21.6
302,24,64,247,14:06.2
303,24,64,247,13:34.2
304,24,64,246,13:19.6
305,24,64,247,12:46.6
306,24,64,246,12:31.4
307,24,64,247,11:59.1
308,24,64,247,11:43.9
309,24,64,247,11:11.5
310,24,64,247,10:56.2
311,24,64,247,10:24.2
312,24,64,247,10:09.0
313,24.1,64,247,09:36.8
314,24.1,64,247,09:21.5
315,24.1,64,247,08:49.3
316,24.1,64,247,08:34.0
317,24.2,64,247,08:01.7
318,24.2,64,248,07:47.0
319,24.2,63,248,07:14.5
320,24.3,63,248,06:59.3
321,24.3,63,249,06:27.3
322,24.3,63,248,06:12.0
323,24.3,63,249,05:40.1
324,24.3,63,248,05:24.8
325,24.3,63,249,04:52.8
326,24.3,63,249,04:37.5
327,24.3,63,249,04:04.9
328,24.3,63,250,03:49.6
329,24.3,63,252,03:17.6
330,24.3,63,252,03:02.2
331,24.3,63,250,02:30.1
332,24.3,63,250,02:15.5
333,24.4,63,250,01:42.7
334,24.4,63,253,01:27.5
335,24.4,63,254,00:55.5
336,24.4,63,254,00:40.2
337,24.5,63,255,00:08.2
338,24.5,63,256,59:53.0
339,24.5,62,250,59:21.0
340,24.5,62,249,59:05.8
341,24.5,62,247,58:33.9
342,24.5,62,246,58:18.6
343,24.6,62,247,57:46.7
344,24.6,62,247,57:31.4
345,24.6,62,247,56:59.2
346,24.6,62,247,56:44.3
347,24.7,62,243,56:11.7
348,24.7,62,242,55:56.4
349,24.8,62,244,55:24.3
350,24.8,62,242,55:09.1
351,24.8,62,257,54:37.1
352,24.9,62,256,54:21.9
353,24.9,62,254,53:49.9
354,24.9,62,254,53:34.6
355,25,62,256,53:02.7
356,25.1,62,256,52:47.6
357,25.1,61,258,52:15.3
358,25.2,61,258,52:00.0
359,25.3,61,260,51:28.0
360,25.4,61,259,51:13.4
361,25.5,60,257,50:40.5
362,25.6,61,257,50:25.2
363,25.6,61,261,49:53.1
364,25.6,61,262,49:37.7
365,25.6,61,226,49:05.3
366,25.6,61,225,48:50.0
367,25.6,61,228,48:18.0
368,25.6,61,228,48:02.7
369,25.6,61,228,47:30.4
370,25.6,61,228,47:15.1
371,25.6,61,228,46:43.2
372,25.6,61,228,46:27.9
373,25.6,61,228,45:55.3
374,25.6,61,228,45:40.7
375,25.6,61,229,45:08.2
376,25.6,61,230,44:53.0
377,25.6,61,230,44:20.9
378,25.6,61,230,44:05.6
379,25.6,62,230,43:33.6
380,25.6,62,231,43:18.3
381,25.5,63,230,42:46.1
382,25.4,63,230,42:30.9
383,25.4,63,230,41:59.0
384,25.4,63,231,41:43.6
385,25.5,62,230,41:11.7
386,25.5,62,230,40:56.4
387,25.6,62,232,40:24.3
388,25.6,62,231,40:09.6
389,25.6,62,230,39:37.0
390,25.6,62,229,39:21.9
391,25.6,63,229,38:49.8
392,25.6,63,229,38:34.5
393,25.6,63,229,38:02.6
394,25.6,63,231,37:47.3
395,25.6,63,231,37:15.4
396,25.6,63,233,37:00.1
397,25.6,63,233,36:27.9
398,25.6,63,232,36:12.5
399,25.6,63,233,35:40.4
400,25.7,63,233,35:25.1
401,25.7,64,233,34:53.0
402,25.7,64,233,34:38.5
403,25.6,64,233,34:05.9
404,25.6,64,233,33:50.6
405,25.5,65,234,33:18.5
406,25.4,65,234,33:03.3
407,25.4,65,234,32:31.2
408,25.4,65,233,32:15.9
409,25.4,65,233,31:44.0
410,25.4,65,234,31:28.9
411,25.4,65,234,30:56.2
412,25.4,65,233,30:40.9
413,25.4,65,233,30:08.7
414,25.4,65,233,29:53.5
415,25.4,65,234,29:21.4
416,25.4,65,234,29:06.7
417,25.5,65,234,28:34.3
418,25.5,65,234,28:19.0
419,25.5,65,235,27:47.2
420,25.5,65,235,27:31.9
421,25.5,66,235,27:00.0
422,25.5,66,235,26:45.0
423,25.5,66,234,26:12.8
424,25.5,66,235,25:57.6
425,25.5,66,234,25:25.6
426,25.5,66,234,25:10.3
427,25.5,66,233,24:38.3
428,25.6,66,230,24:23.0
429,25.6,67,240,23:50.8
430,25.6,67,240,23:36.3
431,25.5,67,240,23:03.4
432,25.5,67,240,22:48.2
433,25.5,67,240,22:15.9
434,25.5,67,240,22:00.6
435,25.5,67,241,21:28.6
436,25.5,68,242,21:13.3
437,25.5,68,242,20:41.3
438,25.5,68,241,20:26.0
439,25.6,68,242,19:54.1
440,25.6,68,242,19:38.8
441,25.6,68,242,19:06.8
442,25.6,68,241,18:51.5
443,25.6,68,247,18:20.1
444,25.6,68,246,18:03.7
445,25.6,68,247,17:31.4
446,25.6,68,246,17:16.3
447,25.6,68,252,16:41.2
